date,total_pnl,trade_count,avg_pnl,total_volume,avg_trade_size,total_fees,unique_accounts,unique_coins,pnl_buy,pnl_sell,volume_buy,volume_sell,buy_sell_ratio
2024-03-09,9949.5,117,85.04,658178.75,5625.46,1.85,1,6,324113.79,334064.96,8444.168827,1505.332797,5.609499264434571
2024-03-10,2482.93,42,59.12,219973.85,5237.47,2.28,1,3,108745.45,111228.4,2482.9272,0.0,2482927.2
2024-03-11,3588.18,42,85.43,176519.45,4202.84,8.47,1,2,86465.61,90053.84,2020.453305,1567.72619,1.2887786330987854
2024-03-12,3039.17,8,379.9,103040.85,12880.11,4.95,1,1,50000.84,53040.009999999995,0.0,3039.166,0.0
2024-03-13,0.0,7,0.0,6000.8,857.26,2.1,1,1,6000.799999999999,0.0,0.0,0.0,0.0
2024-03-14,3465.87,18,192.55,205933.18,11440.73,11.72,2,3,98233.32,107699.86,0.0,3465.865832,0.0
2024-03-15,6236.51,62,100.59,351894.41,5675.72,49.49,3,6,170450.31,181444.1,2023.021836,4213.491815,0.4801294139622259
2024-03-16,228.58,8,28.57,37223.66,4652.96,10.53,2,2,21000.38,16223.279999999999,0.0,228.57984,0.0
2024-03-17,503.29,23,21.88,99506.95,4326.39,33.76,3,4,42752.979999999996,56753.97,73.61088,429.683075,0.1713139589825385
2024-03-18,1456.96,19,76.68,90458.08,4760.95,24.94,3,3,59000.43,31457.649999999998,0.0,1456.9577,0.0
2024-03-19,668.8,24,27.87,219884.84,9161.87,25.99,3,4,119141.29,100743.55,842.799493,-174.00152,-4.843660771818383
2024-03-20,6423.13,69,93.09,215705.85,3126.17,39.88,2,6,98391.58,117314.27,1358.77416,5064.360439,0.26830118196861974
2024-03-21,2335.51,28,83.41,117895.57,4210.56,16.39,3,3,62652.13,55243.44,2097.182,238.326075,8.799596101282239
2024-03-24,1297.02,19,68.26,92592.21,4873.27,8.89,1,1,45647.57,46944.64,1297.018477,0.0,1297018.477
2024-03-25,1302.92,7,186.13,57116.32,8159.47,19.99,1,1,0.0,57116.32,0.0,1302.916428,0.0
2024-03-26,3215.91,118,27.25,198565.19,1682.76,28.15,2,3,106677.33,91887.86,20.599193,3195.3074,0.006446699479774784
2024-03-27,150.41,38,3.96,99864.79,2628.02,31.72,2,3,57362.41,42502.38,31.575719999999997,118.83542,0.265707432115508
2024-03-28,227.85,13,17.53,35323.72,2717.21,9.06,2,2,27554.87,7768.85,227.85100799999998,0.0,227851.00799999997
2024-03-29,883.1,15,58.87,86914.37,5794.29,30.42,1,1,33001.47,53912.9,0.0,883.097404,0.0
2024-03-30,1100.58,45,24.46,101103.92,2246.75,9.94,1,1,50001.66,51102.26,0.0,1100.57514,0.0
2024-03-31,912.79,13,70.21,39912.96,3070.23,13.97,1,1,0.0,39912.96,0.0,912.786145,0.0
2024-04-01,2507.96,77,32.57,339470.47,4408.71,83.75,2,4,226977.47,112493.0,-39.049551,2547.012957,-0.015331502559175023
2024-04-02,883.76,41,21.56,239664.51,5845.48,80.13,2,3,41398.31,198266.19999999998,601.03515,282.725662,2.125852389542236
2024-04-03,126.79,4,31.7,16887.57,4221.89,1.66,2,2,13380.22,3507.35,0.0,126.7884,0.0
2024-04-04,0.0,32,0.0,95987.73,2999.62,33.6,1,1,0.0,95987.73,0.0,0.0,0.0
2024-04-05,10706.48,100,107.06,503791.8,5037.92,103.43,3,6,322530.95999999996,181260.84,4444.4983010000005,6261.986005,0.7097584676319526
2024-04-06,236.34,16,14.77,68223.67,4263.98,23.88,1,1,0.0,68223.67,0.0,236.33513399999998,0.0
2024-04-07,0.0,23,0.0,49988.14,2173.4,17.5,1,1,0.0,49988.14,0.0,0.0,0.0
2024-04-08,1218.43,30,40.61,211940.64,7064.69,61.79,2,2,23777.92,188162.72,1218.4267,0.0,1218426.7
2024-04-09,0.0,3,0.0,57063.84,19021.28,19.97,1,1,0.0,57063.840000000004,0.0,0.0,0.0
2024-04-10,5207.44,41,127.01,351735.97,8578.93,123.11,1,1,339369.25,12366.72,4836.231433,371.211981,13.028185113494187
2024-04-11,389.74,16,24.36,76400.96,4775.06,26.74,1,1,52007.32,24393.64,0.0,389.743164,0.0
2024-04-12,-592.65,129,-4.59,442088.59,3427.04,97.56,3,5,310043.75,132044.84,-2830.444513,2237.798674,-1.2648337319402074
2024-04-13,6621.45,89,74.4,486411.25,5465.29,119.0,2,6,317989.26,168421.99,3361.16575,3260.286005,1.0309416762528243
2024-04-14,-36104.01,107,-337.42,659162.17,6160.39,213.48,2,5,290226.24,368935.93,422.54312000000004,-36526.55564,-0.011568107755152896
2024-04-15,3774.09,41,92.05,291111.19,7100.27,40.65,2,2,168675.52,122435.67,1338.142405,2435.946315,0.5493314230402392
2024-04-16,2467.7,47,52.5,181907.17,3870.37,18.46,2,2,88836.19,93070.98,1168.3752100000002,1299.327011,0.8992149789034296
2024-04-17,2441.47,14,174.39,97562.99,6968.79,10.62,1,1,47560.770000000004,50002.22,2441.4683999999997,0.0,2441468.4
2024-04-19,1946.45,35,55.61,337257.92,9635.94,118.04,1,1,18004.649999999998,319253.27,0.0,1946.4454620000001,0.0
2024-04-20,0.0,22,0.0,60733.24,2760.6,121.29,2,2,48733.65,11999.59,0.0,0.0,0.0
2024-04-22,0.0,9,0.0,47993.61,5332.62,16.8,1,1,0.0,47993.61,0.0,0.0,0.0
2024-04-23,1119.54,66,16.96,233054.9,3531.13,71.31,2,2,163962.22,69092.68,156.60282,962.9333759999998,0.1626308333185937
2024-04-24,279.19,20,13.96,141275.24,7063.76,49.45,1,1,92999.91,48275.33,0.0,279.185907,0.0
2024-04-25,0.0,74,0.0,120241.01,1624.88,160.16,2,2,120241.01,0.0,0.0,0.0,0.0
2024-04-26,0.0,3,0.0,4988.29,1662.76,1.75,1,1,0.0,4988.290000000001,0.0,0.0,0.0
2024-04-27,4281.49,27,158.57,154264.47,5713.5,53.99,1,1,0.0,154264.47,0.0,4281.488139,0.0
2024-04-28,0.0,58,0.0,43985.6,758.37,15.39,2,2,0.0,43985.6,0.0,0.0,0.0
2024-04-29,526.93,45,11.71,108699.01,2415.53,38.04,2,2,89478.89,19220.12,526.9338359999999,0.0,526933.8359999999
2024-04-30,0.0,24,0.0,125018.75,5209.11,43.76,1,1,125018.75,0.0,0.0,0.0,0.0
2024-05-01,0.0,14,0.0,87025.45,6216.1,30.46,1,1,87025.45,0.0,0.0,0.0,0.0
2024-05-03,5306.02,36,147.39,282682.65,7852.3,98.91,3,4,172.18,282510.47,-13.86348,5319.880525,-0.0026059753276178456
2024-05-04,0.0,9,0.0,58998.75,6555.42,20.65,2,2,0.0,58998.75,0.0,0.0,0.0
2024-05-05,0.92,6,0.15,24068.35,4011.39,8.41,2,2,40.69,24027.66,0.916,0.0,916.0
2024-05-06,968.59,9,107.62,206016.43,22890.71,72.11,1,1,179016.9,26999.53,968.59038,0.0,968590.38
2024-05-07,883.54,18,49.09,108717.58,6039.87,38.04,3,4,40395.55,68322.03,604.380933,279.15676,2.1650156993665517
2024-05-08,1.57,13,0.12,65973.57,5074.89,23.08,2,3,65926.89,46.68,4.7394,-3.17364,-1.4938347874325484
2024-05-09,1147.6,28,40.99,221966.12,7927.36,77.69,2,2,51001.63,170964.49,0.0,1147.595856,0.0
